工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,参数,参数名称,扰动比例,扰动百分比,扰动后参数值,固定Topt_Nm
工况 A：岩层锚杆,136.0,136.0,334.265458341954,400.0,P1,锚杆屈服,1.0,0.0,580.9920000000001,True,yield_load,锚杆屈服载荷,-0.2,-20.0,136.0,580.9920000000001
工况 A：岩层锚杆,136.0,153.0,334.265458341954,400.0,P1,锚杆屈服,1.125,17.0,653.616,True,yield_load,锚杆屈服载荷,-0.1,-10.0,153.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,yield_load,锚杆屈服载荷,0.0,0.0,170.0,580.9920000000001
工况 A：岩层锚杆,136.0,187.00000000000003,334.265458341954,400.0,P1,锚杆屈服,1.3750000000000002,51.00000000000003,798.8640000000001,True,yield_load,锚杆屈服载荷,0.1,10.0,187.00000000000003,580.9920000000001
工况 A：岩层锚杆,136.0,204.0,334.265458341954,400.0,P1,锚杆屈服,1.5,68.0,871.488,True,yield_load,锚杆屈服载荷,0.2,20.0,204.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,267.4123666735632,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,-0.2,-20.0,22.400000000000002,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,300.8389125077586,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,-0.1,-10.0,25.2,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.0,0.0,28.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,367.69200417614945,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.1,10.0,30.800000000000004,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,401.11855001034485,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.2,20.0,33.6,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,267.4123666735632,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,-0.2,-20.0,640.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,300.8389125077586,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,-0.1,-10.0,720.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.0,0.0,800.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,367.69200417614945,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.1,10.0,880.0000000000001,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,401.11855001034485,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.2,20.0,960.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,281.48670176164546,320.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,-0.2,-20.0,12.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,307.8760800517997,360.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,-0.1,-10.0,13.5,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,0.0,0.0,15.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,360.6548366321082,440.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,0.1,10.0,16.5,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,387.0442149222625,480.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,0.2,20.0,18.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,390.625,P1,锚杆屈服,1.25,34.0,726.24,True,poisson_ratio,泊松比,-0.2,-20.0,0.2,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,394.99670836076365,P1,锚杆屈服,1.25,34.0,726.24,True,poisson_ratio,泊松比,-0.1,-10.0,0.225,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,poisson_ratio,泊松比,0.0,0.0,0.25,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,405.67951318458415,P1,锚杆屈服,1.25,34.0,726.24,True,poisson_ratio,泊松比,0.1,10.0,0.275,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,412.0879120879121,P1,锚杆屈服,1.25,34.0,726.24,True,poisson_ratio,泊松比,0.2,20.0,0.3,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,256.0,P1,锚杆屈服,1.25,34.0,726.24,True,tray_side,托盘边长,-0.2,-20.0,120.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,324.0,P1,锚杆屈服,1.25,34.0,726.24,True,tray_side,托盘边长,-0.1,-10.0,135.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,tray_side,托盘边长,0.0,0.0,150.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,484.0,P1,锚杆屈服,1.25,34.0,726.24,True,tray_side,托盘边长,0.1,10.0,165.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,576.0,P1,锚杆屈服,1.25,34.0,726.24,True,tray_side,托盘边长,0.2,20.0,180.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,320.0,P1,锚杆屈服,1.25,34.0,726.24,True,max_indent_depth,允许压入深度,-0.2,-20.0,0.8,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,360.0,P1,锚杆屈服,1.25,34.0,726.24,True,max_indent_depth,允许压入深度,-0.1,-10.0,0.9,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,max_indent_depth,允许压入深度,0.0,0.0,1.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,440.0,P1,锚杆屈服,1.25,34.0,726.24,True,max_indent_depth,允许压入深度,0.1,10.0,1.1,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,480.0,P1,锚杆屈服,1.25,34.0,726.24,True,max_indent_depth,允许压入深度,0.2,20.0,1.2,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,500.0,P1,锚杆屈服,1.25,34.0,726.24,True,influence_depth,载荷影响深度,-0.2,-20.0,720.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,444.44444444444446,P1,锚杆屈服,1.25,34.0,726.24,True,influence_depth,载荷影响深度,-0.1,-10.0,810.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,influence_depth,载荷影响深度,0.0,0.0,900.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,363.63636363636357,P1,锚杆屈服,1.25,34.0,726.24,True,influence_depth,载荷影响深度,0.1,10.0,990.0000000000001,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,333.3333333333333,P1,锚杆屈服,1.25,34.0,726.24,True,influence_depth,载荷影响深度,0.2,20.0,1080.0,580.9920000000001
工况 A：岩层锚杆,170.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.0,0.0,580.9920000000001,True,torque_conversion,力矩转换系数 Kd,-0.2,-20.0,3.4176,580.9920000000001
工况 A：岩层锚杆,151.11111111111111,170.0,334.265458341954,400.0,P1,锚杆屈服,1.125,18.888888888888886,653.616,True,torque_conversion,力矩转换系数 Kd,-0.1,-10.0,3.8448,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,torque_conversion,力矩转换系数 Kd,0.0,0.0,4.272,580.9920000000001
工况 A：岩层锚杆,123.63636363636364,170.0,334.265458341954,400.0,P1,锚杆屈服,1.375,46.36363636363636,798.864,True,torque_conversion,力矩转换系数 Kd,0.1,10.0,4.6992,580.9920000000001
工况 A：岩层锚杆,113.33333333333334,170.0,334.265458341954,400.0,P1,锚杆屈服,1.4999999999999998,56.66666666666666,871.488,True,torque_conversion,力矩转换系数 Kd,0.2,20.0,5.1264,580.9920000000001
工况 B：煤层锚杆,98.46153846153847,164.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,yield_load,锚杆屈服载荷,-0.2,-20.0,164.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,184.5,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,yield_load,锚杆屈服载荷,-0.1,-10.0,184.5,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,yield_load,锚杆屈服载荷,0.0,0.0,205.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,225.50000000000003,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,yield_load,锚杆屈服载荷,0.1,10.0,225.50000000000003,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,246.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,yield_load,锚杆屈服载荷,0.2,20.0,246.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,135.7168026350791,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,hole_diameter,钻孔直径,-0.2,-20.0,24.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,152.68140296446393,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,hole_diameter,钻孔直径,-0.1,-10.0,27.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,hole_diameter,钻孔直径,0.0,0.0,30.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,186.61060362323371,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,hole_diameter,钻孔直径,0.1,10.0,33.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,203.5752039526186,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,hole_diameter,钻孔直径,0.2,20.0,36.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,135.7168026350791,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,bond_length,有效锚固长度,-0.2,-20.0,960.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,152.68140296446393,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,bond_length,有效锚固长度,-0.1,-10.0,1080.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,bond_length,有效锚固长度,0.0,0.0,1200.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,186.6106036232337,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,bond_length,有效锚固长度,0.1,10.0,1320.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,203.57520395261858,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,bond_length,有效锚固长度,0.2,20.0,1440.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,158.33626974092556,98.46153846153848,P3,围岩压陷极限,1.0000000000000002,1.4210854715202004e-14,675.190153846154,True,elastic_modulus,围岩弹性模量,-0.2,-20.0,1.6,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,163.9911365173872,110.76923076923077,P3,围岩压陷极限,1.125,12.307692307692307,759.5889230769232,True,elastic_modulus,围岩弹性模量,-0.1,-10.0,1.8,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,elastic_modulus,围岩弹性模量,0.0,0.0,2.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,175.30087007031045,135.38461538461542,P3,围岩压陷极限,1.3750000000000002,36.92307692307695,928.3864615384617,True,elastic_modulus,围岩弹性模量,0.1,10.0,2.2,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,180.95573684677208,147.69230769230768,P3,围岩压陷极限,1.4999999999999998,49.23076923076921,1012.7852307692307,True,elastic_modulus,围岩弹性模量,0.2,20.0,2.4,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,117.18750000000001,P3,围岩压陷极限,1.190185546875,18.725961538461547,803.6015625000001,True,poisson_ratio,泊松比,-0.2,-20.0,0.27999999999999997,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,119.89675557159113,P3,围岩压陷极限,1.2177014237739723,21.435217110052662,822.1800116566291,True,poisson_ratio,泊松比,-0.1,-10.0,0.315,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,poisson_ratio,泊松比,0.0,0.0,0.35,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,126.79404772387075,P3,围岩压陷极限,1.2877520471955621,28.33250926233228,869.4775028616713,True,poisson_ratio,泊松比,0.1,10.0,0.385,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,131.13161728994658,P3,围岩压陷极限,1.3318054881010197,32.67007882840811,899.2219524040796,True,poisson_ratio,泊松比,0.2,20.0,0.42,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,78.76923076923077,P3,围岩压陷极限,0.8,-19.692307692307693,540.1521230769231,False,tray_side,托盘边长,-0.2,-20.0,144.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,99.6923076923077,P3,围岩压陷极限,1.0125,1.2307692307692264,683.6300307692308,True,tray_side,托盘边长,-0.1,-10.0,162.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,tray_side,托盘边长,0.0,0.0,180.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,148.923076923077,P3,围岩压陷极限,1.5125000000000006,50.461538461538524,1021.2251076923081,True,tray_side,托盘边长,0.1,10.0,198.00000000000003,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,177.23076923076923,P2,锚固系统极限,1.722967220953152,71.18446483231035,1163.330502987239,True,tray_side,托盘边长,0.2,20.0,216.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,98.46153846153848,P3,围岩压陷极限,1.0000000000000002,1.4210854715202004e-14,675.190153846154,True,max_indent_depth,允许压入深度,-0.2,-20.0,1.2000000000000002,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,110.76923076923077,P3,围岩压陷极限,1.125,12.307692307692307,759.5889230769232,True,max_indent_depth,允许压入深度,-0.1,-10.0,1.35,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,max_indent_depth,允许压入深度,0.0,0.0,1.5,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,135.38461538461542,P3,围岩压陷极限,1.3750000000000002,36.92307692307695,928.3864615384617,True,max_indent_depth,允许压入深度,0.1,10.0,1.6500000000000001,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,147.69230769230768,P3,围岩压陷极限,1.4999999999999998,49.23076923076921,1012.7852307692307,True,max_indent_depth,允许压入深度,0.2,20.0,1.7999999999999998,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,153.84615384615384,P3,围岩压陷极限,1.5624999999999998,55.38461538461537,1054.9846153846154,True,influence_depth,载荷影响深度,-0.2,-20.0,720.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,136.75213675213672,P3,围岩压陷极限,1.3888888888888884,38.290598290598254,937.7641025641024,True,influence_depth,载荷影响深度,-0.1,-10.0,810.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,influence_depth,载荷影响深度,0.0,0.0,900.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,111.88811188811187,P3,围岩压陷极限,1.136363636363636,13.426573426573398,767.2615384615383,True,influence_depth,载荷影响深度,0.1,10.0,990.0000000000001,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,102.56410256410255,P3,围岩压陷极限,1.0416666666666665,4.102564102564088,703.3230769230769,True,influence_depth,载荷影响深度,0.2,20.0,1080.0,675.1901538461539
工况 B：煤层锚杆,123.07692307692308,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.0,0.0,675.1901538461539,True,torque_conversion,力矩转换系数 Kd,-0.2,-20.0,5.48592,675.1901538461539
工况 B：煤层锚杆,109.4017094017094,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.125,13.675213675213683,759.5889230769232,True,torque_conversion,力矩转换系数 Kd,-0.1,-10.0,6.17166,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,torque_conversion,力矩转换系数 Kd,0.0,0.0,6.8574,675.1901538461539
工况 B：煤层锚杆,89.5104895104895,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.375,33.566433566433574,928.3864615384617,True,torque_conversion,力矩转换系数 Kd,0.1,10.0,7.543140000000001,675.1901538461539
工况 B：煤层锚杆,82.05128205128206,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.5,41.02564102564102,1012.7852307692308,True,torque_conversion,力矩转换系数 Kd,0.2,20.0,8.22888,675.1901538461539
